recommendation_id,asset_id,health_score,risk_level,recommended_action,key_factors,supporting_notes,confidence,status,days_to_failure,priority
REC-PMP-512,PMP-512,0,High,Service / Escalate,3 recent fault event(s) | maintenance overdue by 54 day(s) | vibration above target band | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",76,Pending Review,7,Immediate
REC-BLR-513,BLR-513,0,High,Service / Escalate,5 recent fault event(s) | maintenance overdue by 47 day(s) | vibration above target band | temperature trend elevated | stack temperature indicates efficiency loss or fouling | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",68,Pending Review,7,Immediate
REC-HTX-514,HTX-514,66,Medium,Inspect / Tune / Clean,1 recent fault event(s) | maintenance overdue by 10 day(s) | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",90,Pending Review,306,Planned
REC-BLR-515,BLR-515,0,High,Service / Escalate,5 recent fault event(s) | maintenance overdue by 54 day(s) | vibration above target band | temperature trend elevated | stack temperature indicates efficiency loss or fouling,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",68,Pending Review,7,Immediate
REC-BLR-516,BLR-516,73,Medium,Inspect / Tune / Clean,maintenance overdue by 12 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,294,Planned
REC-PMP-517,PMP-517,0,High,Service / Escalate,4 recent fault event(s) | maintenance overdue by 46 day(s) | vibration above target band | temperature trend elevated | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",72,Pending Review,7,Immediate
REC-BLR-518,BLR-518,45,High,Service / Escalate,1 recent fault event(s) | maintenance overdue by 18 day(s) | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",90,Pending Review,268,Immediate
REC-BLR-519,BLR-519,56,Medium,Inspect / Tune / Clean,maintenance overdue by 4 day(s) | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,279,Planned
REC-CHR-520,CHR-520,0,High,Service / Escalate,6 recent fault event(s) | maintenance overdue by 29 day(s) | vibration above target band | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",64,Pending Review,7,Immediate
REC-HTX-521,HTX-521,32,High,Service / Escalate,2 recent fault event(s) | maintenance overdue by 22 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",86,Pending Review,246,Immediate
REC-CTL-522,CTL-522,78,Medium,Inspect / Tune / Clean,maintenance overdue by 21 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,312,Planned
REC-BUR-523,BUR-523,92,Medium,Inspect / Tune / Clean,maintenance overdue by 7 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",96,Pending Review,349,Planned
REC-PMP-524,PMP-524,0,High,Service / Escalate,5 recent fault event(s) | maintenance overdue by 54 day(s) | vibration above target band | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",68,Pending Review,7,Immediate
REC-BUR-525,BUR-525,50,High,Service / Escalate,2 recent fault event(s) | maintenance overdue by 25 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",86,Pending Review,264,Immediate
REC-BLR-526,BLR-526,69,High,Service / Escalate,maintenance overdue by 23 day(s) | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,293,Immediate
REC-BUR-527,BUR-527,21,High,Service / Escalate,2 recent fault event(s) | maintenance overdue by 22 day(s) | vibration above target band | temperature trend elevated | stack temperature indicates efficiency loss or fouling,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",80,Pending Review,154,Immediate
REC-CHR-528,CHR-528,0,High,Service / Escalate,5 recent fault event(s) | maintenance overdue by 24 day(s) | vibration above target band | temperature trend elevated | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",68,Pending Review,10,Immediate
REC-BLR-529,BLR-529,0,High,Service / Escalate,6 recent fault event(s) | maintenance overdue by 47 day(s) | vibration above target band | temperature trend elevated | stack temperature indicates efficiency loss or fouling | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",64,Pending Review,7,Immediate
REC-BLR-530,BLR-530,67,Medium,Inspect / Tune / Clean,2 recent fault event(s) | maintenance overdue by 7 day(s) | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",86,Pending Review,313,Planned
REC-HTX-531,HTX-531,68,High,Service / Escalate,maintenance overdue by 29 day(s) | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,272,Immediate
REC-BUR-532,BUR-532,56,Medium,Inspect / Tune / Clean,3 recent fault event(s) | maintenance overdue by 3 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",82,Pending Review,264,Planned
REC-CTL-533,CTL-533,71,Medium,Inspect / Tune / Clean,1 recent fault event(s) | maintenance overdue by 3 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",90,Pending Review,313,Planned
REC-CTL-534,CTL-534,51,Medium,Inspect / Tune / Clean,2 recent fault event(s) | maintenance overdue by 10 day(s) | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",86,Pending Review,272,Planned
REC-BLR-535,BLR-535,55,High,Service / Escalate,3 recent fault event(s) | maintenance overdue by 25 day(s) | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",82,Pending Review,240,Immediate
